Warning this test is running in real-time and may be flaky.
FAIL - "left" property for "box" element at 0.25s expected: 200 but saw: 277.93951416015625

Log:
212.70700000002307 - runAnimationTest
214.60700000000088 - First webkitAnimationStart event fired
214.79099999999107 - Finished waiting for animations to start
214.9339999999711 - RAF callback, animation time: 0.11099999994712562
275.3739999999425 - RAF callback, animation time: 60.57399999997415
276.4549999999417 - RAF callback, animation time: 61.655999999970845
277.5289999999586 - RAF callback, animation time: 62.728999999990265
278.60599999996793 - RAF callback, animation time: 63.80699999999706
279.68299999997726 - RAF callback, animation time: 64.88400000000638
280.762999999979 - RAF callback, animation time: 65.96400000000813
281.8399999999883 - RAF callback, animation time: 67.04100000001745
282.9189999999926 - RAF callback, animation time: 68.12000000002172
283.992000000012 - RAF callback, animation time: 69.19300000004114
285.0660000000289 - RAF callback, animation time: 70.26699999994435
286.14299999992454 - RAF callback, animation time: 71.34299999995619
287.21599999994396 - RAF callback, animation time: 72.41699999997309
288.28999999996086 - RAF callback, animation time: 73.49099999998998
289.3669999999702 - RAF callback, animation time: 74.5679999999993
290.442999999982 - RAF callback, animation time: 75.64300000001367
291.5169999999989 - RAF callback, animation time: 76.71800000002804
292.6149999999552 - RAF callback, animation time: 77.81599999998434
293.6899999999696 - RAF callback, animation time: 78.89099999999871
294.7669999999789 - RAF callback, animation time: 79.96800000000803
295.8459999999832 - RAF callback, animation time: 81.04600000001483
296.9259999999849 - RAF callback, animation time: 82.12200000002667
297.99800000000687 - RAF callback, animation time: 83.199000000036
299.0750000000162 - RAF callback, animation time: 84.27600000004531
300.15100000002803 - RAF callback, animation time: 85.350999999946
301.2269999999262 - RAF callback, animation time: 86.42799999995532
302.304999999933 - RAF callback, animation time: 87.50599999996211
303.38099999994483 - RAF callback, animation time: 88.58199999997396
304.45899999995163 - RAF callback, animation time: 89.65899999998328
305.53599999996095 - RAF callback, animation time: 90.73699999999008
306.6109999999753 - RAF callback, animation time: 91.81200000000445
307.68699999998717 - RAF callback, animation time: 92.88800000001629
308.76200000000154 - RAF callback, animation time: 93.96300000003066
309.83600000001843 - RAF callback, animation time: 95.03600000005008
310.91300000002775 - RAF callback, animation time: 96.11399999994319
311.99099999992086 - RAF callback, animation time: 97.19099999995251
313.0820000000085 - RAF callback, animation time: 98.28300000003765
314.15800000002037 - RAF callback, animation time: 99.35900000004949
315.2350000000297 - RAF callback, animation time: 100.43599999994512
316.37499999999363 - RAF callback, animation time: 101.57600000002276
317.45599999999286 - RAF callback, animation time: 102.65700000002198
318.53000000000975 - RAF callback, animation time: 103.7300000000414
319.6699999999737 - RAF callback, animation time: 104.87000000000535
320.73800000000574 - RAF callback, animation time: 105.93900000003487
321.81500000001506 - RAF callback, animation time: 107.01500000004671
322.8910000000269 - RAF callback, animation time: 108.09199999994235
323.96699999992506 - RAF callback, animation time: 109.16799999995419
325.0439999999344 - RAF callback, animation time: 110.24499999996351
326.11899999994876 - RAF callback, animation time: 111.31999999997788
327.1919999999682 - RAF callback, animation time: 112.3929999999973
328.26699999998254 - RAF callback, animation time: 113.46800000001167
329.34099999999944 - RAF callback, animation time: 114.54200000002857
330.4170000000113 - RAF callback, animation time: 115.61800000004041
331.4980000000105 - RAF callback, animation time: 116.69900000003963
332.61499999991884 - RAF callback, animation time: 117.81599999994796
333.73999999992066 - RAF callback, animation time: 118.94099999994978
334.8189999999249 - RAF callback, animation time: 120.01899999995658
335.8979999999292 - RAF callback, animation time: 121.09399999997095
336.9709999999486 - RAF callback, animation time: 122.17199999997774
338.0489999999554 - RAF callback, animation time: 123.24999999998454
339.12999999995463 - RAF callback, animation time: 124.33099999998376
340.20299999997405 - RAF callback, animation time: 125.40400000000318
341.28499999997075 - RAF callback, animation time: 126.4850000000024
342.3609999999826 - RAF callback, animation time: 127.56100000001425
343.4859999999844 - RAF callback, animation time: 128.68700000001354
346.27499999999145 - RAF callback, animation time: 131.47400000002563
347.3719999999503 - RAF callback, animation time: 132.57199999998193
348.47899999999754 - RAF callback, animation time: 133.68000000002667
349.55200000001696 - RAF callback, animation time: 134.7530000000461
350.68699999999353 - RAF callback, animation time: 135.88300000003528
351.7909999999347 - RAF callback, animation time: 136.99099999996633
352.87099999993643 - RAF callback, animation time: 138.07099999996808
353.95900000003166 - RAF callback, animation time: 139.1599999999471
355.02999999994245 - RAF callback, animation time: 140.23099999997157
356.1730000000125 - RAF callback, animation time: 141.37400000004163
357.25400000001173 - RAF callback, animation time: 142.45400000004338
358.3300000000236 - RAF callback, animation time: 143.5310000000527
359.40800000003037 - RAF callback, animation time: 144.6089999999458
360.48699999992095 - RAF callback, animation time: 145.6869999999526
361.75300000002153 - RAF callback, animation time: 146.81199999995442
362.7559999999903 - RAF callback, animation time: 147.88999999996122
363.7709999999288 - RAF callback, animation time: 148.9639999999781
364.8399999999583 - RAF callback, animation time: 150.03999999998996
365.9179999999651 - RAF callback, animation time: 151.11799999999675
366.9999999999618 - RAF callback, animation time: 152.19999999999345
368.07199999998375 - RAF callback, animation time: 153.27300000001287
369.14999999999054 - RAF callback, animation time: 154.3500000000222
370.22699999999986 - RAF callback, animation time: 155.428000000029
371.3040000000092 - RAF callback, animation time: 156.5050000000383
372.3659999999427 - RAF callback, animation time: 157.5669999999718
373.44599999994443 - RAF callback, animation time: 158.64599999997608
374.52399999995123 - RAF callback, animation time: 159.72399999998288
375.5979999999681 - RAF callback, animation time: 160.79899999999725
376.67899999996735 - RAF callback, animation time: 161.8750000000091
377.75199999998677 - RAF callback, animation time: 162.9530000000159
378.832999999986 - RAF callback, animation time: 164.0340000000151
380.00799999997525 - RAF callback, animation time: 165.20900000000438
381.2639999999874 - RAF callback, animation time: 166.46100000002662
382.34299999999166 - RAF callback, animation time: 167.5440000000208
383.77600000001166 - RAF callback, animation time: 168.9760000000433
385.0869999999986 - RAF callback, animation time: 170.28800000002775
386.41899999993257 - RAF callback, animation time: 171.6199999999617
387.48099999997976 - RAF callback, animation time: 172.68200000000888
388.6519999999791 - RAF callback, animation time: 173.85300000000825
389.74499999994805 - RAF callback, animation time: 174.9449999999797
390.8199999999624 - RAF callback, animation time: 176.02399999998397
391.9029999999566 - RAF callback, animation time: 177.10399999998572
392.98199999996086 - RAF callback, animation time: 178.18299999999
394.06099999996513 - RAF callback, animation time: 179.26199999999426
395.1399999999694 - RAF callback, animation time: 180.34099999999853
396.2189999999737 - RAF callback, animation time: 181.4200000000028
397.29699999998047 - RAF callback, animation time: 182.4980000000096
398.4289999999646 - RAF callback, animation time: 183.62899999999627
399.6949999999515 - RAF callback, animation time: 184.89499999998316
400.7649999999785 - RAF callback, animation time: 185.96600000000763
401.8219999999246 - RAF callback, animation time: 187.02299999995375
402.9039999999213 - RAF callback, animation time: 188.10499999995045
403.98399999992307 - RAF callback, animation time: 189.18399999995472
405.0649999999223 - RAF callback, animation time: 190.26599999995142
406.1510000000226 - RAF callback, animation time: 191.3439999999582
407.2209999999359 - RAF callback, animation time: 192.421999999965
408.29699999994773 - RAF callback, animation time: 193.49799999997686
409.3729999999596 - RAF callback, animation time: 194.5739999999887
410.45099999996637 - RAF callback, animation time: 195.6519999999955
411.5269999999782 - RAF callback, animation time: 196.72800000000734
412.6169999999547 - RAF callback, animation time: 197.81699999998636
413.69699999995646 - RAF callback, animation time: 198.8979999999856
414.7809999999481 - RAF callback, animation time: 199.98099999997976
415.86199999994733 - RAF callback, animation time: 201.06199999997898
416.9570000000249 - RAF callback, animation time: 202.15799999994033
418.0350000000317 - RAF callback, animation time: 203.23599999994713
419.11099999992985 - RAF callback, animation time: 204.31199999995897
420.18799999993917 - RAF callback, animation time: 205.38799999997082
421.3649999999234 - RAF callback, animation time: 206.56499999995503
422.43999999993775 - RAF callback, animation time: 207.6399999999694
423.51399999995465 - RAF callback, animation time: 208.71499999998377
424.5929999999589 - RAF callback, animation time: 209.79399999998805
425.66899999997077 - RAF callback, animation time: 210.8699999999999
426.7449999999826 - RAF callback, animation time: 211.94600000001174
427.82599999998183 - RAF callback, animation time: 213.02700000001096
428.9099999999735 - RAF callback, animation time: 214.1110000000026
429.9819999999954 - RAF callback, animation time: 215.18200000002707
431.05800000000727 - RAF callback, animation time: 216.25800000003892
432.15299999997114 - RAF callback, animation time: 217.35400000000027
433.2329999999729 - RAF callback, animation time: 218.43400000000202
434.31299999997464 - RAF callback, animation time: 219.51400000000376
435.3919999999789 - RAF callback, animation time: 220.59200000001056
436.4739999999756 - RAF callback, animation time: 221.67400000000725
437.546999999995 - RAF callback, animation time: 222.74800000002415
438.6259999999993 - RAF callback, animation time: 223.82700000002842
439.7359999999253 - RAF callback, animation time: 224.93699999995442
440.8169999999245 - RAF callback, animation time: 226.01799999995364
441.89299999993636 - RAF callback, animation time: 227.0939999999655
442.97499999993306 - RAF callback, animation time: 228.1759999999622
444.0509999999449 - RAF callback, animation time: 229.25099999997656
445.1289999999517 - RAF callback, animation time: 230.32999999998083
446.20499999996355 - RAF callback, animation time: 231.40599999999267
447.27899999998044 - RAF callback, animation time: 232.48000000000957
448.35599999998976 - RAF callback, animation time: 233.5570000000189
449.4329999999991 - RAF callback, animation time: 234.6340000000282
450.50900000001093 - RAF callback, animation time: 235.71000000004005
451.5850000000228 - RAF callback, animation time: 236.7860000000519
453.6919999999327 - RAF callback, animation time: 238.89199999996436
454.77900000003046 - RAF callback, animation time: 239.9799999999459
455.8549999999286 - RAF callback, animation time: 241.05599999995775
456.93099999994047 - RAF callback, animation time: 242.13099999997212
458.0069999999523 - RAF callback, animation time: 243.20799999998144
459.08399999996163 - RAF callback, animation time: 244.28499999999076
460.26999999992313 - RAF callback, animation time: 245.46399999996993
461.33899999995265 - RAF callback, animation time: 246.5389999999843
462.41299999996954 - RAF callback, animation time: 247.61399999999867
463.49099999997634 - RAF callback, animation time: 248.69200000000546
464.56899999998313 - RAF callback, animation time: 249.77000000001226
465.6479999999874 - RAF callback, animation time: 250.84900000001653
465.6830000000127 - Running checks for time: 250, delay: 0.849000000016531
465.7720000000154 - Checking expectation: [null,0.25,"box","left",200,20]
466.2989999999354 - Ending test
